sentence,offsets,correction,old_type,new_type,comment
"And at the end , my opinion is that one weekend ticket for all events is a great idea , because you do n't have to stay in queues to buy a ticket for a show , you want to go to .
",1 4,,R:OTHER,,
"What are you dong here , why are n't you at school ? '
",3 4,doing,R:OTHER,R:SPELL,
"Paul was like paralyzed .
",2 3,,U:OTHER,,
"If no , what do you sugest ?
",1 2,not,R:OTHER,R:MORPH,
"Other thing I had to do is keep an eye in the towels , I mean , dried towels because as you know that country is too hot , especially for my liking , as they have to change the clothes and looks fresh ; do n't ask me why .
",34 35,and,R:OTHER,M:CONJ,
"But what I particularly liked was see and ask autographs from the rest of the others groups .
",6 17,,R:OTHER,,
"The festival was excenent in many ways , and especially it being an international festival was a challenging , but brilliant idea .
",9 10,,R:OTHER,,
"Furthermore , I found that there were not many genres of neither the films nor the plays .
",11 15,,R:OTHER,,
"So I suggest you have various kinds , and more numbers of plays and films next year .
",10 12,,U:OTHER,,
"I was very disappointing a week holiday for me because I had got a lot of problem with the show .
",7 9,,U:OTHER,,
"When I went to asked for the discount of ticket in the cashier desk they told me no discount available for this .
",20 22,,U:OTHER,,
"The carbon dioxide are growing very fast and people cut more trees , therefore not enough trees to such carbon dioxide and produce oxygen .
",1 1,,M:OTHER,,
"The carbon dioxide are growing very fast and people cut more trees , therefore not enough trees to such carbon dioxide and produce oxygen .
",14 14,,M:OTHER,,
"The carbon dioxide are growing very fast and people cut more trees , therefore not enough trees to such carbon dioxide and produce oxygen .
",18 19,,R:OTHER,,
"I think I can win this price , because this clothe will produce in the future soon .
",14 17,,R:OTHER,,
"MY NAME JAMES CAMIREZ AND I'AM WRITING THIS LETTER TO YOU BECAUSE I HAVE SOME COMPLEINTS FOR THE DISAPPOINTING EVENING I HAD LAST NIGHT .
",5 6,I am,R:OTHER,R:CONTR,
"FIRST OF ALL ON THE ADVERTISEMENT FOR THE SHOW IT SAYS THAT THE ACTOR WAS GOING TO BE DANNY BROOK AND INSTEAD OF HIM WAS A TOTALLY UNKNOWN CLOWN THAT HAD NO IDEA OF HOW TO ACT , IT WAS HORRIBLY DISAPPOINTING !
",3 4,in,R:OTHER,R:PREP,
"SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY APPEARS THAT THE SHOW STARTS AT 19.30 , AND I GOT HEAVILY MAD WHEN I LOOK MY WATCH AND NOTICE THAT I HAD BEEN WAITING FOR 40 ( FORTY ) MINUTES AND THE SHOW DIDN'T START YET ... I MEAN I WAS AMAIZING !
",14 15,states,R:OTHER,R:VERB,
"SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY APPEARS THAT THE SHOW STARTS AT 19.30 , AND I GOT HEAVILY MAD WHEN I LOOK MY WATCH AND NOTICE THAT I HAD BEEN WAITING FOR 40 ( FORTY ) MINUTES AND THE SHOW DIDN'T START YET ... I MEAN I WAS AMAIZING !
",25 26,really,R:OTHER,R:ADV,
"OH I'M GETING MAD AGAIN SO I'AM GOING TO TELL YOU THE LAST THING , IT WAS THE HORRIBLE NIGHT I HAD EVER GOT SO I DEMEND FOR MY MONEY BACK !
",6 7,I am,R:OTHER,R:CONTR,
"OH I'M GETING MAD AGAIN SO I'AM GOING TO TELL YOU THE LAST THING , IT WAS THE HORRIBLE NIGHT I HAD EVER GOT SO I DEMEND FOR MY MONEY BACK !
",11 12,,R:OTHER,,
"OH I'M GETING MAD AGAIN SO I'AM GOING TO TELL YOU THE LAST THING , IT WAS THE HORRIBLE NIGHT I HAD EVER GOT SO I DEMEND FOR MY MONEY BACK !
",23 24,had,R:OTHER,R:VERB,
"NOW WITH MODERN MACHINES I CAN MAKE A BETTER USE OF MY TIME , IF I'AM LATE TO GO TO TRAINING AND I HADN'T IT YET I JUST TAKE MY FOOD AND PUT IT IN THE MICROWAVEOVEN .
",15 16,I am,R:OTHER,R:CONTR,
"ANOTHER EXAMPLE IS THE COMPUTERS , I THINK THEY ARE ONE OF THE MOST ADVANCED MACHINE IN THE WORLD , YOU CAN LIVE YOUR ENTIRE LIFE IN A HOUSE WITHOUT GOING OUT , BY JUST USING THE INTERNET , IT HAS ALSO HELPED ME IN MY SCHOOL HOMEWORK , I MEAN IT 'S INCREDIBLE THE TIME YOU WAIST BY MAKING THING WITHOUT A COMPUTER .
",10 11,,R:OTHER,,
"ANOTHER EXAMPLE IS THE COMPUTERS , I THINK THEY ARE ONE OF THE MOST ADVANCED MACHINE IN THE WORLD , YOU CAN LIVE YOUR ENTIRE LIFE IN A HOUSE WITHOUT GOING OUT , BY JUST USING THE INTERNET , IT HAS ALSO HELPED ME IN MY SCHOOL HOMEWORK , I MEAN IT 'S INCREDIBLE THE TIME YOU WAIST BY MAKING THING WITHOUT A COMPUTER .
",59 60,doing,R:OTHER,R:VERB,
"THIS CAN BE BAD TO BECAUSE IF I GET USED TO BE CONFORTABLE WHEN I NEED TO DO HARD WORKS I WON'T BE ABLE TO DO THEM .
",4 5,,R:OTHER,,
"THIS CAN BE BAD TO BECAUSE IF I GET USED TO BE CONFORTABLE WHEN I NEED TO DO HARD WORKS I WON'T BE ABLE TO DO THEM .
",25 27,,U:OTHER,,
"1th , June , 2000
",0 4,,R:OTHER,U:PUNCT,
"How is the weather like in California in July ?
",0 1,what,R:OTHER,,suggestion: question word category? 
"Everyone likes sale , but those so - called sale items are not really of value .
",14 15,good,R:OTHER,M:OTHER,
"Also supermarket owners have put in a vast amount of money to find out the best way to place goods in order to get the most profit .
",4 6,invested,R:OTHER,R:VERB,
"Therefore , we become impulsive buyers easily under these tricks .
",8 8,,M:OTHER,,
"I do n't think anyone would really like to face them .
",5 8,,R:OTHER,,
"If we came back to the past , we felt everything , it was so difficult to do , we would have plane and done by ourself and last time .
",26 27,ourselves,R:OTHER,R:NUM,
"In the present , the teachnology is a past of life .
",0 3,,R:OTHER,,
"Regarding the programme you have organised , it is great ideas everything that you have planed , but I would like to suggest to you something that the students saw in an advertisement .
",7 16,,R:OTHER,,
"Regarding the programme you have organised , it is great ideas everything that you have planed , but I would like to suggest to you something that the students saw in an advertisement .
",23 25,,U:OTHER,,
"The idea about going to science museum is fantastic , I read about the museum , it is really interesting in science history .
",21 23,,R:OTHER,,
"On Wednesday after viseted national Art Gallery , we can have a chat about ours next holiday at the free time in the afternoon .
",3 3,,M:OTHER,,
"Sometimes being famous can get stress , everywhere they go there are people around them , especially journalists , trying to ask millions questions .
",5 6,stressful,R:OTHER,R:MORPH,
"Famous people deserve to have freedom to do whatever they want , but it is quite difficult to do thing in a public places , because nobody like famous politicians or film stars without asking questions .
",27 28,,R:OTHER,,
"Then at the tickets - office I was said that no discounts were available so I had to pay the full prize despite I am a student .
",3 5,ticket,R:OTHER,R:NUM,
"Then at the tickets - office I was said that no discounts were available so I had to pay the full prize despite I am a student .
",23 23,,M:OTHER,,
"I am really not satisfied with the show - organization particularly because in the advertisement you wrote something different .
",7 10,,R:OTHER,,
"Obviously Ted should have known nothing about it and we remembered it to Pat twice : "" the party is a secret ! ! "" and she said : "" Yes , it must be a surprise ! ""
",10 14,,R:OTHER,,
"It will be held in Central Exhibition Hall , London or Tuesday March 14 from 10.00 to 19.00 .
",10 11,on,R:OTHER,R:SPELL/R:PREP/R:OTHER,
"However , instead of going to Army , I was able to apply to Korea Auxiliary Police .
",14 14,,M:OTHER,,
"Suddenly , the theft signal came into .
",3 5,,R:OTHER,,
"When we arrived at the place which it happened , one man started running away .
",6 7,where,R:OTHER,,suggestion: question word category? 
"When I said to my mother , she asked me not to do it again .
",2 4,told,R:OTHER,R:VERB,
"But , I was a police - man .
",5 8,policeman,R:OTHER,R:SPELL,
"However , I would choose sailing because I am facinating with the sea and it 's misteries and I also like the watter , the wind in my face ...
",14 16,,R:OTHER,,
"Although it was 5.000 thousand people there , people could walk and dance without any problem .
",1 2,,R:OTHER,,
"Although it was 5.000 thousand people there , people could walk and dance without any problem .
",3 4,,R:OTHER,,
"It was very well organised , the shows started in the exactly time and the group were well performed too .
",9 11,,U:OTHER,,
"I have just received your letter which is made me so hapy . I can not belive that I won first prize in your competition , because I always belived I am an unluky man and now I think somethings are changing in my life .
",28 30,,R:OTHER,,
"I would like to come in July , because I am studying English and we have one month break at July , so please make my log cabin ready by july .
",24 29,,R:OTHER,,
"I used to be play in school team when I was in high school and our team was the one of the best Basketball team in all county and I also very good at swim .
",26 27,,R:OTHER,,
"I would like to ask a few things , specialy wheather : how is the weather in July in the U.S.A. What kind of clothes I will need and how much money I should take with me , Because I have never been U.S.A. before and I do n't know anything
",12 13,what,R:OTHER,,suggestion: question-word category.
"I would like to ask a few things , specialy wheather : how is the weather in July in the U.S.A. What kind of clothes I will need and how much money I should take with me , Because I have never been U.S.A. before and I do n't know anything
",20 21,U.S.A?,R:OTHER,R:PUNCT ,
"I would like to ask a few things , specialy wheather : how is the weather in July in the U.S.A. What kind of clothes I will need and how much money I should take with me , Because I have never been U.S.A. before and I do n't know anything
",51 51,,M:OTHER,,
"I am looking forward to your reply letter .
",6 8,,R:OTHER,,
"Your sincerely
",0 1,Yours,R:OTHER,R:PRON,
"I have never enjoyed doing shopping , but nowday some people are calling shopcholic .
",9 9,,M:OTHER,,
"They are just like alcholics and this people are every day doing shopping because they can not stop themself unless they have not got money for spend .
",8 13,,R:OTHER,,
"I can not believe how they doing this things every day , even when I need something at home I alway try to find out something to use instead of that things .
",29 32,,U:OTHER,,
"The queue is not only the problem if you go by car there is parking problem , if you go by bus there is again queue and you have to carry many carry bag carrier bags during the your journey and you wo n't be alway luky to find a seat to seat .
",14 16,,R:OTHER,,
"The queue is not only the problem if you go by car there is parking problem , if you go by bus there is again queue and you have to carry many carry bag carrier bags during the your journey and you wo n't be alway luky to find a seat to seat .
",31 32,,R:OTHER,,
"The queue is not only the problem if you go by car there is parking problem , if you go by bus there is again queue and you have to carry many carry bag carrier bags during the your journey and you wo n't be alway luky to find a seat to seat .
",44 46,always be,R:OTHER,"R:WO, R:SPELL",
"If you go shopping for ( buy ) clothes that is the worse kind of shopping .
",5 8,,U:OTHER,,
"Specialy if you want to buy with your girlfriend or if you are already girl you have to be read for hours to spend try on and off .
",19 20,,R:OTHER,,
"Specialy if you want to buy with your girlfriend or if you are already girl you have to be read for hours to spend try on and off .
",26 28,ready,R:OTHER,R:SPELL,
"I realy hate go shopping with girls to buy clothes because when they went into a shop they want try on every single cloth and they do not realise to time .
",23 24,clothes,R:OTHER,M:NOUN,
"I realy hate go shopping with girls to buy clothes because when they went into a shop they want try on every single cloth and they do not realise to time .
",29 30,,R:OTHER,,
"Secondly , I must complain that the musical show started almost an hour later and in addition to this anyone did n't excuse .
",19 23,,R:OTHER,,
"Your faithfully
",0 1,Yours,R:OTHER,R:PRON,
"Mr. Manager :
",0 1,,R:OTHER,,
"Firstly when I went to the show it was writing that the starting time was 19.30 but it started at quarter past eight I had waitted for fourthey five minutes .
",27 28,forty-,R:OTHER,R:SPELL,
"And as last that was the worse night I had ever had so I asked for my money back but they would n't give it so I had an argument with the people Who worked their but I could n't get my money back .
",35 36,,R:OTHER,,
"Because last year I started smoking and nobody knew that I was smoking but one day as I was smoking at the back of the school some one came next to me and I noticed that it was Pat .
",29 30,up,R:OTHER,R:PREP,
"She said that she would n't tell it to anyone but I knew she might say it to someone so I always was with her very minute ever second .
",7 9,,U:OTHER,,
"She said that she would n't tell it to anyone but I knew she might say it to someone so I always was with her very minute ever second .
",25 26,every,R:OTHER,R:SPELL,
"She said that she would n't tell it to anyone but I knew she might say it to someone so I always was with her very minute ever second .
",27 28,every,R:OTHER,R:SPELL,
"But one day as I was walking home like every night I saw Pat at the front of our house door talking to my dad .
",14 16,in,R:OTHER,R:PREP,
"I could n't go out of the house for a month so now I know how Pat is and ca n't keep any secrets .
",19 19,,M:OTHER,,
"I 'm writing to you to complain about the musical show you present at the moment : "" Over the Rainbow "" .
",12 13,,R:OTHER,,
"Your theatre is known to present excellent spectacles .
",5 6,,R:OTHER,,
"We were never disappointed so far and especially enjoyed "" The Drama "" you presented last year .
",4 6,,R:OTHER,,
"Therefore I ask you to give use £ 20 back , because the two tickets were not more worth .
",6 7,,R:OTHER,,
"It was so hot , I decided to go for a swim in tutry , although I had n't any swimming - clothes .
",21 23,,R:OTHER,,
"They drove me to their office after having given me use of their shirt .
",10 13,,R:OTHER,,
"I am recommending you to check your possible time to work - weekdays or weekend ? - before you request a job .
",19 20,,R:OTHER,,
"Secondly , as your family or friends .
",2 3,,R:OTHER,,
"As it is said in your advertisement , the show is starring Danny Brook but there was different actor .
",19 19,,M:OTHER,,
"Everything was just vice versa .
",3 5,,R:OTHER,,
"But she told it to very kid in school , even the teachers heard it .
",5 6,,R:OTHER,,
"Secondly , I had some ideas for the next year events , such as :
",14 14,,M:OTHER,,
"In addictions , the ticket 's price is too expensive and difficult to buy another one every day , so , I think is more effective if was one reasonably - priced weekend ticket for all events .
",4 7,,R:OTHER,,
"In addictions , the ticket 's price is too expensive and difficult to buy another one every day , so , I think is more effective if was one reasonably - priced weekend ticket for all events .
",11 11,,M:OTHER,,
"In addictions , the ticket 's price is too expensive and difficult to buy another one every day , so , I think is more effective if was one reasonably - priced weekend ticket for all events .
",14 15,,R:OTHER,,
"I remember these time in our class when us talking many time about rules and I am missing that time so much .
",10 11,,R:OTHER,,
"Well , about rules in my contry , is not different than another countries .
",8 8,,M:OTHER,,
"Well , about rules in my contry , is not different than another countries .
",12 13,,R:OTHER,,
"First of all , the actor was different from your advertisement .
",9 9,,M:OTHER,,
"Besides this , the theatre restaurant was early closed .
",6 9,,R:OTHER,,
"It was so close to be on his birthday , so we made a decision to hold a small party for him .
",5 7,,U:OTHER,,
"She has just learnt with us for three weeks .
",1 4,,R:OTHER,,
"However , this party she took part in , she was responsible for preparing food .
",5 8,,R:OTHER,,
"Finally , I think it was a good idea the fact to buy only one ticket for all the events since I just spent the time watching and enjoying all of them .
",9 11,,U:OTHER,,
"Your sincerely
",0 1,,R:OTHER,,
"At home everything is quite good , mum and dad are great but there 's one main rule I must tell them were I go and what time I 'll come back .
",22 23,,R:OTHER,,
"She usually tells me what to do and what kind of clothes I should wear but I do n't care about it .
",19 22,,R:OTHER,,
"Especially I believe that the visit to the National Art Gallery will be a really exciting experience for all of us .
",0 1,,R:OTHER,,
"It will take place on Tuesday from 10.00am to 19.00pm , so we could give up the shopping and go to the show in the afternoon .
",9 10,,R:OTHER,,
"Being famous and risk is something all of us have dreamt of sometimes .
",1 4,,R:OTHER,,
"Being famous and risk is something all of us have dreamt of sometimes .
",12 13,,R:OTHER,,
"But not always famous people are happy of their condition .
",1 6,,R:OTHER,,
"There is no surprise to this answer : famous people can not have their own private life .
",0 7,,R:OTHER,,
"Also the most famous star can be unhappy and depresed : not always , in fact , money and celebrity being happiness .
",11 21,,R:OTHER,,
"It is no doubt that functions and structures of the home have been changing as well as that of transformation , for example , have been .
",0 1,,R:OTHER,,
"New materials will surly change the home of the future in any ways .
",11 12,,R:OTHER,,
"Hopefully , the minds of people will stay peaceful and tender in the future .
",10 11,,R:OTHER,,
"So I am unable to go on holiday to another time .
",8 10,,R:OTHER,,
"I think it is also important to present a comercial english lesson , maybe the pupils could write "" offers and orders "" or enquiries on the blackboard .
",9 10,,R:OTHER,,
"The smokers in the school yard , the buffett and the other pupils , who are sitting in front of their tables writing their homework .
",17 20,,R:OTHER,,
"I think then we should film an informatic - lesson .
",7 9,,R:OTHER,,
"It 's really funny to see the helpless teacher , who wants to go on writing in excel or a word text , while the computers do not work or brake down .
",15 16,,R:OTHER,,
"Especially I was disappointed by Danny Brook who made me nervous with his lack of talent .
",0 1,,R:OTHER,,
"Come back to paradise
",0 2,,R:OTHER,,
"That 's why I believe in the solution which is the closest to human nature and can help us to omit the boredome I am sure that at last we will take off our clothes and in the future we will be undressed and free there wo n't be any problem with being up - do - date .
",27 29,,R:OTHER,,
"Thanks to computers , phones , mobile phones , internet I can communicate with other people faster than I was able to do before .
",9 9,,M:OTHER,,
"First of all , I spend too much time indoors playing computer or watching TV . I know that if I want to keep fit and stay healthy , I must take up some sport .
",11 11,,M:OTHER,,
"By the other side , I have never climbed a mountain but I always wanted to do it .
",0 4,,R:OTHER,,
"I thing it is a great opportunity for us , as it is at the time of our being in London and is free of charge for students .
",1 2,,R:OTHER,,
"I hope you will consider this proposition and I am looking forward to hearing form you .
",14 15,,R:OTHER,,
"First of all , it would be greater if there were more famous people who have various nationalities .
",14 16,,R:OTHER,,
"Of course , you ca n't afford a luxualy car and a large apartment unless you 've born with a silver spoon .
",16 22,,R:OTHER,,
"Not only it 's a simple job , but also you can enjoy working with many colleague at your age .
",2 4,,R:OTHER,,
"Not only it 's a simple job , but also you can enjoy working with many colleague at your age .
",15 16,,R:OTHER,,
"Dir Madam
",0 1,,R:OTHER,,
"In addition in such kind of shops prizes are very high , of course not all of them .
",3 4,,R:OTHER,,
"I my opinion the worst thing which may happened is extremly hugh queu to the changing room .
",0 1,,R:OTHER,,
"I my opinion the worst thing which may happened is extremly hugh queu to the changing room .
",11 12,,R:OTHER,,
"On balance I think that shopping should be a nice thing so if you have bad mood do n't go shopping .
",14 15,,R:OTHER,,
"First of all , I want to thank you in the name of the class for your good organisation and programme , Especially for the fact that you are giving us some free time .
",9 12,,R:OTHER,,
"The show is on Tuesday the 14th of March , from 10 oo to 19 oo o'clock in the Central Exhibition Hall .
",12 16,,R:OTHER,,
"There will be shown the latest fashions about leisure and sports wear , make up and hairstyles .
",0 17,,R:OTHER,,
"The yellow press is searching for every little information they can get .
",8 8,,M:OTHER,,
"The photographers are chasing these people , just to take a picture of them on how they eat or with who the meat .
",14 15,,R:OTHER,,
"The photographers are chasing these people , just to take a picture of them on how they eat or with who the meat .
",22 23,,R:OTHER,,
"The price for fame and money is the lost of privacy .
",8 9,,R:OTHER,,
"As well as this , the stars should n't complaint at any time about their fans and their lost of privacy .
",18 19,,R:OTHER,,
"They wanted to be famous and the had known the price before .
",11 12,,R:OTHER,,
"Instead of half past seven the show startet at quarter past eight . I could n't go to have a refreshment because of two reasons , the first one is that there was no information how much time the start of the show is going to be late .
",36 38,,R:OTHER,,
"The second reason is that the restaurant of the theatre was closed because of building plans for the next two month .
",6 10,,R:OTHER,,
"The second reason is that the restaurant of the theatre was closed because of building plans for the next two month .
",12 21,,R:OTHER,,
"After I waited for about 45 minutes the show suddenly started but I had to realize that the main actor Danny Brook , who was the reason why I went into the show had been traded by an other actor , who could n't sing as half as good then Brook .
",48 49,,R:OTHER,,
"After I waited for about 45 minutes the show suddenly started but I had to realize that the main actor Danny Brook , who was the reason why I went into the show had been traded by an other actor , who could n't sing as half as good then Brook .
",49 50,,R:OTHER,,
"To make an result the evening in your theatre and the show was very disappointing and not like promised .
",1 4,,R:OTHER,,
"To make an result the evening in your theatre and the show was very disappointing and not like promised .
",18 18,,M:OTHER,,
"For these reasons I want to ask you to get my money of £ 25 back .
",8 10,,R:OTHER,,
"Sarah looked at him for a while , than she stood in front of the class and explaind to the others , that she won a prize for 20 people to travel for 1 week to the sea of southern France and everybody of the 19 pupils was invited , except Pat who was n't very good at keeping secrets .
",8 9,,R:OTHER,,
"Sarah looked at him for a while , than she stood in front of the class and explaind to the others , that she won a prize for 20 people to travel for 1 week to the sea of southern France and everybody of the 19 pupils was invited , except Pat who was n't very good at keeping secrets .
",42 43,,R:OTHER,,
"I am waiting this letter re fearing to the show "" over the Rainbow "" you presented the 10 of this month .
",5 7,,R:OTHER,,
"But , the quality of this show was n't what you let understand , an I feel realy disappointed by it .
",11 13,,R:OTHER,,
"But , the quality of this show was n't what you let understand , an I feel realy disappointed by it .
",14 15,,R:OTHER,,
"First of all , you presented a starring composed with Danny Brook , but he was n't there !
",8 10,,R:OTHER,,
"So you can imagine how I am satisfied by your pretending "" Perfect Evening "" .
",11 11,,M:OTHER,,
"The police arrived twenty minutes later , took my mother and checked to see what could be interesting to find the murder : lucky , the knife which he used to kill her was still here and in fact they could arrested him .
",40 41,,R:OTHER,,
"They found hime two months after and six months after he was in jail .
",5 6,,R:OTHER,,
"They found hime two months after and six months after he was in jail .
",9 10,,R:OTHER,,
"Finally , after the show we had planed to eat diner at the theatre restaurant and we were very disappointed when it turned out to closed .
",2 11,,R:OTHER,,
"Your sincerely ,
",0 1,,R:OTHER,,
"Unfortunately , Pat was n't very good at keeping secrets and the rumours describing me stealing soon reached the director 's office .
",13 14,,R:OTHER,,
"The same evening my father pronounced a few words : ' May this be the end of your thief career we are only ready to forgive if you promiss never to start again '
",0 2,,R:OTHER,,
"The same evening my father pronounced a few words : ' May this be the end of your thief career we are only ready to forgive if you promiss never to start again '
",18 20,,R:OTHER,,
"In the second place I add that I would prefer an accomodation in a tent , even though it is not very comfortable , because I want to put myself to the test by living in a condition I am not used to .
",10 12,,R:OTHER,,
"Most of the students agree in saying that two are the main features of our daily life at school which should be filmed : it would be very funny to dwell on us working and speaking together without the help of the teacher to show our efforts and sometimes successful and sometimes ridiculous and also to film some amusing moments we spent waiting for the teacher .
",8 8,,M:OTHER,,
"Most of the students agree in saying that two are the main features of our daily life at school which should be filmed : it would be very funny to dwell on us working and speaking together without the help of the teacher to show our efforts and sometimes successful and sometimes ridiculous and also to film some amusing moments we spent waiting for the teacher .
",9 11,,U:OTHER,,
"A little percentage , on the contrary , said it would be very useful to film the teacher when she is explaining us something important , to give the idea of the real life in our classroom . which is the most .
",21 25,,R:OTHER,,
"Then , I was forced to wait fourty five minutes to see the show because it started at 20:75 in stead of 19:30 and when it finally started , I was really disapointed to see that the actors were n't Danny and Tina as it said on the anouncement .
",7 8,,R:OTHER,,
"Second of all , I would prefer to live in a tent .
",0 3,,R:OTHER,,
"The reason of my decision is that other activities are availiable to take also in my county , except climbing , but I have fear of heights so this one is not destinated for people like me .
",10 14,,R:OTHER,,
"That 's why I suppose , that man 's clothes will be becoming more and more light .
",13 17,,R:OTHER,,
"At Camp California , I hope I will be in tents because I like very much this kind of style life : I love the contact with the nature .
",24 25,,R:OTHER,,
"On the other handDuring my stay in Camp California , I want to go swimming because I practice this activitie regularly and I often do competitions : this is one of my hobbies .
",0 4,,R:OTHER,,
"In addition to this , I wish I am going to sail : I have never try it , but it seems to be great !
",7 9,,U:OTHER,,
"In addition to this , I wish I am going to sail : I have never try it , but it seems to be great !
",10 12,,R:OTHER,,
"As soon as all the conections was made , we tested the nivel of the sound : I found it too loud , so I advised them to regular it , and they listed to me !
",12 16,,R:OTHER,,
"Moreover , I learnt a lot about music , especially concerning the way of using an instrument .
",11 14,,R:OTHER,,
"My friends have seen an advertisement which is the London fashion and leissure show .
",10 14,,R:OTHER,,
"We have decided it would be more interesting to see the latest fashions , make up , hairstyles instead of going to do shopping .
",18 20,,R:OTHER,,
"We would suggest gong to this fabolous show .
",3 4,,R:OTHER,,
"Although I imagine my house in my future , I am sure I would be suprised when I had them .
",16 17,,R:OTHER,,
"The advertisement shew two actors but I was surprised to see as the main caracter a different person .
",2 3,,R:OTHER,,
"The advertisement shew two actors but I was surprised to see as the main caracter a different person .
",11 18,,R:OTHER,,
"As well as this , to my horror , the performance did n't start at 19.30 but forthy five minutes later .
",17 18,,R:OTHER,,
"Have a good feeling with it ! :
",0 5,,R:OTHER,,
"On one side , the modern technology is extremely important , on the other hand you should n't abuse of it .
",0 3,,R:OTHER,,
"Conclusion : I do think , however , the modern technology is essential for human being nowadays .
",8 9,,R:OTHER,,
"IN JULY WE HAVE GOT LOW SEASON AND IT WILL BE EASIER TO GO THEN ON HOLLYDAY .
",0 5,,R:OTHER,,
"IN JULY WE HAVE GOT LOW SEASON AND IT WILL BE EASIER TO GO THEN ON HOLLYDAY .
",14 17,,R:OTHER,,
"FROM THE ACTIVITIES I CHOOSE TENNIS AND SURFING . I PLAY TENNIS IN A CUP FOR FIVE YEARS BUT SURFING I HAVE NEVER DONE BEFORE .
",10 11,,R:OTHER,,
"WE NEED SOME SPECIAL SPORT CLOTHES FOR THIS TWO ACTIVITIES ? AND IS IT ALSO ALLOWED TO BRING MY DOG WITH ?
",12 15,,R:OTHER,,
"YOU KNOW THAT I ALWAYS WANTED TO HELP AT A CONCERT . TO BE IN A STAFF TEAM WOULD BE WONDERFUL , I THOUGTH . AND I WAS RIGHT !
",14 16,,R:OTHER,,
"AS YOU KNOW I WROTE TO THAT ORGANISATION WHO IS ALWAYS RESPONSBLE FOR BIG EVENTS .
",8 9,,R:OTHER,,
"AFTER THE MEETING WE RECIEVED ALL THE SAME CLOTHES .
",4 6,,R:OTHER,,
"Firstly , it was mentioned that there were going to be two starrings but , in fact , only an actor were performing on the show .
",19 20,,R:OTHER,,
"We would n't be able to sort out informations and datas this quickly .
",11 12,,R:OTHER,,
"Secondly , no one could communicate on the phone through countries or even through houses as immediate as nowadays .
",16 17,,R:OTHER,,
"Put it in another words , modern technology has changed our life to became more advanced in every ways .
",3 4,,R:OTHER,,
"The even is planned on 14th of March between 10.00 am and 19.00 p.m. If it is possible we would like to ask you to change your programme .
",10 14,,R:OTHER,,
"Your sincerelly
",0 1,,R:OTHER,,
"The things that really dissapointed me were that you said Danny Brook and Tina Truelove were suposed to be the actors but they were n't , different actors played and to be honest they made the hole show very bad .
",36 37,,R:OTHER,,
"Another thing was that you said discounts are available which is very important for students , but no their were n't any .
",18 19,,R:OTHER,,
"Also after the show your restaurant was closed because their was n't enough staff .
",9 10,,R:OTHER,,
"Since everyone can afford modern technology the life of everyone in the more developed countries has changed completly .
",6 10,,R:OTHER,,
